ilkid,firstname,lastname,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
BOBBNE01  ,Nelson,Bobb,6,29,6,0,0,2,4,0,0,0,9,6,2,5,2,0,0
BOERWTO01 ,Tom,Boerwinkle,35,785,250,0,0,330,123,0,0,0,94,233,107,48,36,0,0
BOGUEMU01 ,Muggsy,Bogues,18,636,170,38,13,51,105,33,0,36,36,167,70,26,20,21,10
BOLMA01   ,Manute,Bol,29,496,82,72,37,109,3,6,77,13,61,88,34,27,12,23,2
BONDWA01  ,Walter,Bond,4,13,1,1,0,1,0,1,0,0,4,2,0,2,1,1,0
BONHARO01 ,Ron,Bonham,3,30,13,0,0,6,3,0,0,0,4,15,4,6,5,0,0
BONHARO01 ,Ron,Bonham,9,29,31,0,0,4,0,0,0,0,3,23,12,14,7,0,0
BONNEAN01 ,Anthony,Bonner,23,172,45,17,21,38,5,6,1,16,31,36,17,21,11,1,0
BOONERO01 ,Ron,Boone,76,2493,1248,0,0,380,398,0,0,0,243,1094,506,270,236,0,0
BOONERO01 ,Ron,Boone,8,226,94,0,0,15,14,9,0,0,28,77,37,21,20,0,0
BOOTHCA01 ,Calvin,Booth,10,137,38,12,16,28,2,7,6,4,29,37,15,9,8,0,0
BOOZEBO01 ,Bob,Boozer,48,1283,556,0,0,341,58,0,0,0,136,456,213,176,130,0,0
BORNHJA01 ,Jake,Bornheimer,2,0,2,0,0,0,0,0,0,0,2,3,1,0,0,0,0
BORRELA01 ,Lazaro,Borrell,2,26,10,8,3,11,1,0,0,1,2,7,4,4,2,0,0
BORYLVI01 ,Vince,Boryla,33,463,436,0,0,89,65,0,0,0,114,375,158,135,120,0,0
BOSWETO01 ,Tom,Boswell,20,259,82,4,2,54,25,3,6,4,42,59,33,24,16,0,0
BOVENDO01 ,Don,Boven,8,111,23,0,0,16,2,0,0,0,22,28,7,16,9,0,0
BOWENBR01 ,Bruce,Bowen,80,2422,473,169,40,209,109,55,46,49,216,440,163,102,54,231,93
BOWENRY01 ,Ryan,Bowen,11,131,20,7,7,14,6,6,0,6,23,26,9,3,2,0,0
BOWENTO01 ,Tom,Bowens,5,94,30,0,0,25,5,0,0,0,17,31,14,2,2,0,0
BOWIEAN01 ,Anthony,Bowie,40,310,89,22,7,29,33,5,3,14,47,75,36,13,12,7,5
BOWIESA01 ,Sam,Bowie,29,644,165,109,49,158,38,14,41,30,97,159,64,52,35,4,2
BOWMAIR01 ,Ira,Bowman,7,11,0,0,0,0,2,0,0,0,0,2,0,2,0,1,0
BOWMANA01 ,Nate,Bowman,29,196,54,0,0,79,9,0,0,0,51,66,22,13,10,0,0
BOYCEDO01 ,Donnie,Boyce,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
BOYKIEA01 ,Earl,Boykins,10,273,138,9,8,17,38,9,2,15,19,131,55,26,23,21,5
BRACEST01 ,Steve,Bracey,10,137,69,0,0,14,23,0,0,0,14,54,27,20,15,0,0
BRADDGA01 ,Gary,Bradds,22,633,384,0,0,179,18,0,0,0,66,314,146,115,92,0,0
BRADDGA01 ,Gary,Bradds,1,5,6,0,0,2,0,0,0,0,0,3,2,2,2,0,0
BRADLAL01 ,Alonzo,Bradley,5,16,16,2,1,3,1,1,0,0,2,9,6,5,3,1,1
BRADLBI01 ,Bill,Bradley,95,3161,1222,0,0,333,263,0,0,0,313,1165,510,251,202,0,0
BRADLBI02 ,Bill,Bradley,2,9,6,0,0,1,1,0,0,0,3,2,2,2,2,0,0
BRADLCH01 ,Charles,Bradley,9,22,4,4,1,5,1,1,0,4,6,8,2,2,0,0,0
BRADLDU01 ,Dudley,Bradley,30,212,70,9,5,14,22,13,1,23,35,66,26,18,13,22,5
BRADLMI01 ,Michael,Bradley,1,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
BRADLSH01 ,Shawn,Bradley,43,557,128,95,52,147,10,7,47,26,102,113,54,27,20,1,0
BRANCAD01 ,Adrian,Branch,12,47,16,9,3,12,7,2,0,5,10,24,4,14,8,1,0
BRANDTE01 ,Terrell,Brandon,38,946,398,104,18,122,163,31,9,67,66,361,165,58,52,42,16
BRANNBO01 ,Bob,Brannum,25,492,174,0,0,155,47,0,0,0,116,177,68,67,38,0,0
BRANSJE01 ,Jesse,Branson,17,402,193,0,0,102,20,0,0,0,62,155,61,87,71,0,0
BRATZMI01 ,Mike,Bratz,37,666,315,28,10,59,96,33,3,27,82,262,119,80,63,41,14
BRAUNCA01 ,Carl,Braun,31,706,415,0,0,81,87,0,0,0,107,369,134,178,147,0,0
BREMEJR01 ,J.R.,Bremer,10,146,47,15,0,15,12,3,0,8,12,56,16,8,7,32,8
BRENNPE01 ,Pete,Brennan,2,6,4,0,0,5,0,0,0,0,4,7,2,1,0,0,0
BREUERA01 ,Randy,Breuer,60,870,287,130,56,186,26,23,44,30,129,223,115,95,57,0,0
BREWEJA01 ,Jamison,Brewer,2,6,1,2,2,4,1,0,0,1,3,2,0,2,1,0,0
BREWEJI01 ,Jim,Brewer,31,742,164,18,10,204,49,7,8,5,59,145,68,54,28,0,0
BREWERO01 ,Ron,Brewer,16,411,226,11,2,24,32,8,16,16,30,191,92,59,41,7,1
BRIANFR01 ,Frank,Brian,43,768,394,0,0,61,93,0,0,0,105,386,134,154,126,0,0
BRICKFR01 ,Frank,Brickowski,37,590,233,92,30,122,39,22,10,50,114,181,93,63,40,25,7
BRIDGBI01 ,Bill,Bridges,113,3521,1185,0,0,1305,219,0,0,0,414,1135,475,349,235,0,0
BRIDGJU01 ,Junior,Bridgeman,49,1359,650,100,43,172,128,36,11,66,148,581,264,145,118,16,4
